student_id,name,accuracy,avg_completion_time,score_history,error_types,learning_pace,attendance_rate,homework_completion_rate,Recommended_Level
S0170,Student_0170,0.75,15.5,"[80, 90, 96, 64, 72]","{'reading': 3, 'vocab': 2, 'logic': 0}",7.1,0.67,0.53,Medium (Standard)
S0171,Student_0171,0.8,13.5,"[94, 98, 66, 97, 91]","{'reading': 2, 'vocab': 4, 'logic': 4}",11.7,0.8,0.85,Medium (Standard)
S0172,Student_0172,0.41,22.5,"[81, 67, 76, 86, 92]","{'reading': 0, 'vocab': 1, 'logic': 3}",14.4,0.88,0.57,Medium (Standard)
S0173,Student_0173,0.7,13.5,"[86, 67, 82, 88, 79]","{'reading': 0, 'vocab': 2, 'logic': 4}",12.3,0.88,0.71,Medium (Standard)
S0174,Student_0174,0.53,22.3,"[88, 95, 85, 90, 71]","{'reading': 0, 'vocab': 0, 'logic': 1}",11.0,0.86,0.77,Medium (Standard)
S0175,Student_0175,0.78,14.2,"[71, 91, 84, 98, 77]","{'reading': 1, 'vocab': 3, 'logic': 2}",19.9,0.71,0.7,Medium (Standard)
S0176,Student_0176,0.5,22.2,"[94, 93, 97, 64, 77]","{'reading': 0, 'vocab': 1, 'logic': 3}",18.2,0.66,0.76,Medium (Standard)
S0177,Student_0177,0.81,14.5,"[81, 90, 69, 71, 87]","{'reading': 2, 'vocab': 3, 'logic': 4}",14.4,0.85,1.0,Hard (Challenge)
S0178,Student_0178,0.63,18.3,"[82, 68, 88, 75, 81]","{'reading': 2, 'vocab': 3, 'logic': 2}",13.5,0.84,0.57,Medium (Standard)
S0179,Student_0179,0.95,12.1,"[73, 98, 96, 93, 70]","{'reading': 0, 'vocab': 2, 'logic': 3}",14.3,0.67,0.84,Medium (Standard)
S0180,Student_0180,0.48,21.3,"[93, 66, 82, 66, 84]","{'reading': 4, 'vocab': 2, 'logic': 2}",8.0,0.88,0.7,Medium (Standard)
S0181,Student_0181,0.6,19.3,"[97, 79, 93, 89, 76]","{'reading': 2, 'vocab': 1, 'logic': 2}",10.9,0.78,0.57,Medium (Standard)
S0182,Student_0182,0.47,23.3,"[79, 77, 86, 95, 82]","{'reading': 1, 'vocab': 2, 'logic': 2}",5.6,0.87,0.58,Medium (Standard)
S0183,Student_0183,0.95,11.4,"[93, 95, 96, 76, 99]","{'reading': 3, 'vocab': 4, 'logic': 2}",12.1,0.93,0.97,Hard (Challenge)
S0184,Student_0184,0.92,13.0,"[62, 77, 78, 65, 75]","{'reading': 1, 'vocab': 3, 'logic': 2}",13.1,0.67,0.94,Hard (Challenge)
S0185,Student_0185,0.55,18.8,"[98, 71, 69, 66, 60]","{'reading': 0, 'vocab': 3, 'logic': 4}",8.4,0.61,0.95,Medium (Standard)
S0186,Student_0186,0.79,17.1,"[96, 83, 84, 66, 76]","{'reading': 4, 'vocab': 0, 'logic': 1}",19.5,0.91,1.0,Hard (Challenge)
S0187,Student_0187,0.88,11.0,"[83, 70, 68, 71, 94]","{'reading': 3, 'vocab': 3, 'logic': 3}",18.6,0.84,0.6,Medium (Standard)
S0188,Student_0188,0.73,19.0,"[72, 82, 78, 96, 98]","{'reading': 0, 'vocab': 3, 'logic': 1}",15.8,0.88,0.68,Medium (Standard)
S0189,Student_0189,0.71,15.7,"[66, 70, 90, 88, 72]","{'reading': 1, 'vocab': 0, 'logic': 2}",13.0,0.94,0.83,Medium (Standard)
S0190,Student_0190,0.54,16.3,"[93, 98, 63, 70, 88]","{'reading': 1, 'vocab': 4, 'logic': 4}",18.0,0.92,0.74,Medium (Standard)
S0191,Student_0191,0.45,21.3,"[96, 76, 80, 78, 66]","{'reading': 4, 'vocab': 4, 'logic': 1}",7.0,0.98,0.71,Medium (Standard)
S0192,Student_0192,0.93,10.0,"[70, 83, 65, 85, 66]","{'reading': 0, 'vocab': 2, 'logic': 2}",16.9,0.81,0.68,Medium (Standard)
S0193,Student_0193,0.93,13.1,"[88, 98, 61, 78, 63]","{'reading': 1, 'vocab': 0, 'logic': 0}",6.9,0.8,0.8,Hard (Challenge)
S0194,Student_0194,0.77,13.3,"[96, 87, 89, 66, 68]","{'reading': 0, 'vocab': 0, 'logic': 0}",16.9,0.76,0.79,Medium (Standard)
S0195,Student_0195,0.6,17.1,"[65, 77, 69, 87, 70]","{'reading': 0, 'vocab': 0, 'logic': 4}",9.1,0.66,0.58,Medium (Standard)
S0196,Student_0196,0.61,14.0,"[96, 79, 60, 62, 77]","{'reading': 0, 'vocab': 2, 'logic': 0}",18.2,0.83,0.74,Medium (Standard)
S0197,Student_0197,0.83,12.5,"[88, 95, 96, 85, 76]","{'reading': 4, 'vocab': 0, 'logic': 1}",19.2,0.71,0.78,Medium (Standard)
S0198,Student_0198,0.93,6.6,"[81, 64, 63, 95, 65]","{'reading': 3, 'vocab': 4, 'logic': 4}",7.2,0.97,0.79,Hard (Challenge)
S0199,Student_0199,0.92,8.4,"[96, 84, 85, 98, 79]","{'reading': 0, 'vocab': 3, 'logic': 0}",11.9,0.83,0.61,Medium (Standard)
S0200,Student_0200,0.86,14.3,"[80, 75, 75, 79, 88]","{'reading': 3, 'vocab': 2, 'logic': 0}",19.7,0.84,0.87,Hard (Challenge)
S0201,Student_0201,0.78,16.0,"[78, 92, 61, 74, 81]","{'reading': 3, 'vocab': 1, 'logic': 1}",12.3,0.74,0.51,Medium (Standard)
S0202,Student_0202,0.45,21.9,"[81, 86, 72, 92, 64]","{'reading': 1, 'vocab': 4, 'logic': 2}",18.0,0.62,0.68,Easy (Review)
S0203,Student_0203,0.5,18.1,"[73, 83, 62, 89, 94]","{'reading': 3, 'vocab': 3, 'logic': 3}",13.8,0.61,0.89,Medium (Standard)
S0204,Student_0204,0.93,11.3,"[88, 76, 99, 80, 82]","{'reading': 3, 'vocab': 2, 'logic': 0}",10.6,0.77,0.78,Medium (Standard)
S0205,Student_0205,0.76,14.8,"[93, 69, 69, 65, 95]","{'reading': 3, 'vocab': 2, 'logic': 2}",9.3,0.63,0.63,Medium (Standard)
S0206,Student_0206,0.41,19.5,"[96, 65, 60, 65, 81]","{'reading': 0, 'vocab': 0, 'logic': 4}",8.0,0.84,0.85,Medium (Standard)
S0207,Student_0207,0.46,23.8,"[74, 85, 67, 83, 97]","{'reading': 4, 'vocab': 2, 'logic': 1}",16.4,0.95,0.78,Medium (Standard)
S0208,Student_0208,0.79,16.0,"[60, 95, 71, 97, 70]","{'reading': 3, 'vocab': 1, 'logic': 1}",10.8,0.95,0.9,Hard (Challenge)
S0209,Student_0209,0.4,21.6,"[98, 66, 70, 95, 90]","{'reading': 0, 'vocab': 4, 'logic': 1}",12.7,0.86,0.87,Medium (Standard)
S0210,Student_0210,0.49,20.3,"[83, 68, 90, 69, 61]","{'reading': 2, 'vocab': 2, 'logic': 2}",12.4,0.68,0.81,Medium (Standard)
S0211,Student_0211,0.72,16.0,"[70, 74, 87, 69, 97]","{'reading': 0, 'vocab': 1, 'logic': 1}",13.7,0.95,0.74,Medium (Standard)
S0212,Student_0212,0.81,9.7,"[66, 74, 77, 77, 83]","{'reading': 1, 'vocab': 3, 'logic': 1}",18.0,0.95,0.57,Medium (Standard)
S0213,Student_0213,0.78,13.9,"[85, 66, 97, 89, 64]","{'reading': 2, 'vocab': 0, 'logic': 1}",19.7,0.68,0.63,Medium (Standard)
S0214,Student_0214,0.53,18.0,"[60, 78, 61, 80, 79]","{'reading': 4, 'vocab': 4, 'logic': 3}",11.1,0.89,0.71,Medium (Standard)
S0215,Student_0215,0.82,11.6,"[71, 81, 79, 77, 60]","{'reading': 0, 'vocab': 3, 'logic': 4}",17.4,0.71,0.8,Medium (Standard)
S0216,Student_0216,0.54,18.6,"[70, 83, 90, 72, 75]","{'reading': 4, 'vocab': 1, 'logic': 1}",16.5,0.92,0.76,Medium (Standard)
S0217,Student_0217,0.59,21.8,"[75, 97, 60, 70, 94]","{'reading': 2, 'vocab': 4, 'logic': 4}",13.6,1.0,0.64,Medium (Standard)
S0218,Student_0218,0.84,14.5,"[76, 98, 87, 88, 62]","{'reading': 3, 'vocab': 1, 'logic': 2}",19.3,0.61,0.5,Medium (Standard)
S0219,Student_0219,0.78,13.3,"[73, 71, 89, 91, 91]","{'reading': 1, 'vocab': 1, 'logic': 2}",8.0,0.96,0.75,Medium (Standard)
S0220,Student_0220,0.9,13.1,"[60, 61, 76, 89, 98]","{'reading': 3, 'vocab': 2, 'logic': 0}",6.6,0.85,0.64,Medium (Standard)
S0221,Student_0221,0.79,17.0,"[81, 93, 60, 68, 79]","{'reading': 4, 'vocab': 2, 'logic': 3}",17.8,0.99,0.87,Hard (Challenge)
S0222,Student_0222,0.74,17.0,"[99, 63, 68, 81, 77]","{'reading': 3, 'vocab': 1, 'logic': 2}",11.6,0.79,0.51,Medium (Standard)
S0223,Student_0223,0.46,20.9,"[98, 68, 65, 78, 66]","{'reading': 4, 'vocab': 0, 'logic': 2}",17.7,0.94,0.79,Medium (Standard)
S0224,Student_0224,0.62,16.3,"[96, 98, 78, 96, 76]","{'reading': 1, 'vocab': 4, 'logic': 4}",18.4,0.62,0.97,Medium (Standard)
S0225,Student_0225,0.56,20.2,"[92, 61, 89, 79, 77]","{'reading': 2, 'vocab': 0, 'logic': 1}",5.9,0.73,0.59,Medium (Standard)
S0226,Student_0226,0.54,20.0,"[83, 63, 96, 63, 72]","{'reading': 0, 'vocab': 4, 'logic': 1}",18.3,0.63,0.74,Medium (Standard)
S0227,Student_0227,0.97,12.4,"[83, 61, 92, 78, 68]","{'reading': 3, 'vocab': 2, 'logic': 0}",11.7,0.99,0.55,Hard (Challenge)
S0228,Student_0228,0.63,18.7,"[98, 69, 60, 80, 68]","{'reading': 3, 'vocab': 2, 'logic': 0}",12.7,0.93,0.81,Medium (Standard)
S0229,Student_0229,0.93,13.5,"[64, 81, 82, 66, 82]","{'reading': 3, 'vocab': 0, 'logic': 2}",14.4,0.94,0.78,Hard (Challenge)
S0230,Student_0230,0.77,13.5,"[65, 93, 68, 92, 65]","{'reading': 4, 'vocab': 1, 'logic': 0}",18.9,0.98,0.7,Medium (Standard)
S0231,Student_0231,0.87,15.2,"[88, 73, 95, 95, 74]","{'reading': 1, 'vocab': 3, 'logic': 4}",5.3,0.63,0.76,Medium (Standard)
S0232,Student_0232,0.7,16.4,"[87, 63, 75, 81, 71]","{'reading': 2, 'vocab': 1, 'logic': 4}",12.2,0.75,0.95,Medium (Standard)
S0233,Student_0233,0.74,19.4,"[88, 77, 69, 98, 77]","{'reading': 0, 'vocab': 4, 'logic': 0}",15.3,0.63,0.6,Medium (Standard)
S0234,Student_0234,0.69,14.8,"[74, 63, 79, 69, 82]","{'reading': 0, 'vocab': 1, 'logic': 3}",15.8,0.68,0.51,Medium (Standard)
S0235,Student_0235,0.52,23.1,"[92, 93, 98, 69, 79]","{'reading': 0, 'vocab': 4, 'logic': 0}",15.4,0.69,0.93,Medium (Standard)
S0236,Student_0236,0.83,13.8,"[64, 75, 74, 87, 90]","{'reading': 4, 'vocab': 2, 'logic': 0}",7.0,0.79,0.79,Medium (Standard)
S0237,Student_0237,0.57,17.3,"[93, 72, 73, 70, 87]","{'reading': 1, 'vocab': 2, 'logic': 4}",9.5,0.71,0.95,Medium (Standard)
S0238,Student_0238,0.41,20.8,"[90, 76, 68, 69, 67]","{'reading': 4, 'vocab': 4, 'logic': 2}",10.4,0.64,0.8,Medium (Standard)
S0239,Student_0239,0.78,13.8,"[64, 65, 89, 90, 76]","{'reading': 2, 'vocab': 3, 'logic': 0}",17.1,0.67,0.91,Medium (Standard)
S0240,Student_0240,0.5,20.8,"[61, 96, 60, 63, 95]","{'reading': 1, 'vocab': 0, 'logic': 2}",9.2,0.66,0.71,Medium (Standard)
S0241,Student_0241,0.95,12.0,"[68, 81, 82, 71, 69]","{'reading': 1, 'vocab': 2, 'logic': 1}",8.2,0.99,0.87,Hard (Challenge)
S0242,Student_0242,0.96,9.7,"[89, 81, 65, 61, 89]","{'reading': 1, 'vocab': 1, 'logic': 3}",19.4,0.9,0.96,Hard (Challenge)
S0243,Student_0243,0.94,11.2,"[60, 67, 72, 74, 67]","{'reading': 1, 'vocab': 4, 'logic': 1}",5.1,0.99,0.79,Hard (Challenge)
S0244,Student_0244,0.62,21.9,"[78, 97, 70, 79, 79]","{'reading': 4, 'vocab': 1, 'logic': 0}",20.0,0.78,0.59,Medium (Standard)
S0245,Student_0245,0.41,25.3,"[69, 93, 85, 89, 68]","{'reading': 2, 'vocab': 1, 'logic': 3}",15.2,0.71,0.63,Easy (Review)
S0246,Student_0246,0.95,11.9,"[65, 73, 63, 85, 98]","{'reading': 0, 'vocab': 2, 'logic': 4}",17.4,0.92,0.6,Medium (Standard)
S0247,Student_0247,0.65,17.1,"[65, 88, 70, 75, 89]","{'reading': 0, 'vocab': 2, 'logic': 1}",9.4,0.73,0.62,Medium (Standard)
S0248,Student_0248,0.97,10.8,"[81, 84, 78, 90, 85]","{'reading': 1, 'vocab': 0, 'logic': 3}",5.2,0.72,0.65,Medium (Standard)
S0249,Student_0249,0.97,11.8,"[82, 72, 84, 61, 61]","{'reading': 0, 'vocab': 3, 'logic': 4}",16.1,0.69,0.78,Medium (Standard)
S0250,Student_0250,0.9,10.0,"[94, 72, 90, 80, 91]","{'reading': 1, 'vocab': 2, 'logic': 0}",17.5,0.65,0.79,Medium (Standard)
S0251,Student_0251,0.57,18.1,"[61, 97, 91, 99, 87]","{'reading': 4, 'vocab': 0, 'logic': 0}",16.1,0.7,0.71,Medium (Standard)
S0252,Student_0252,0.63,14.1,"[69, 63, 94, 69, 70]","{'reading': 3, 'vocab': 4, 'logic': 0}",7.1,0.74,0.81,Medium (Standard)
S0253,Student_0253,0.9,12.8,"[75, 94, 61, 70, 62]","{'reading': 4, 'vocab': 1, 'logic': 3}",16.3,0.87,0.54,Medium (Standard)
S0254,Student_0254,0.59,19.5,"[73, 93, 90, 99, 77]","{'reading': 0, 'vocab': 4, 'logic': 2}",16.5,0.63,0.54,Easy (Review)
S0255,Student_0255,0.5,19.0,"[67, 87, 67, 90, 62]","{'reading': 2, 'vocab': 3, 'logic': 0}",14.9,0.68,0.59,Easy (Review)
S0256,Student_0256,0.73,18.5,"[95, 76, 73, 68, 89]","{'reading': 4, 'vocab': 3, 'logic': 4}",16.5,0.92,0.76,Medium (Standard)
S0257,Student_0257,0.95,8.5,"[91, 70, 79, 94, 70]","{'reading': 3, 'vocab': 3, 'logic': 2}",17.7,0.66,0.61,Medium (Standard)
S0258,Student_0258,0.81,10.9,"[99, 97, 89, 86, 80]","{'reading': 3, 'vocab': 3, 'logic': 3}",14.2,0.74,0.64,Medium (Standard)
S0259,Student_0259,0.74,15.6,"[63, 70, 72, 68, 63]","{'reading': 3, 'vocab': 0, 'logic': 4}",6.3,0.95,0.7,Medium (Standard)
S0260,Student_0260,0.46,22.9,"[85, 97, 72, 98, 87]","{'reading': 1, 'vocab': 2, 'logic': 2}",12.3,0.66,0.91,Medium (Standard)
S0261,Student_0261,0.76,18.2,"[72, 72, 87, 61, 69]","{'reading': 4, 'vocab': 1, 'logic': 0}",6.2,0.63,0.51,Medium (Standard)
S0262,Student_0262,0.98,9.5,"[92, 73, 79, 74, 91]","{'reading': 0, 'vocab': 0, 'logic': 4}",11.1,0.79,0.82,Hard (Challenge)
S0263,Student_0263,0.48,22.6,"[75, 61, 76, 91, 67]","{'reading': 3, 'vocab': 2, 'logic': 4}",11.1,0.72,0.83,Medium (Standard)
S0264,Student_0264,0.71,15.7,"[71, 79, 75, 73, 75]","{'reading': 2, 'vocab': 4, 'logic': 0}",6.0,0.83,0.9,Medium (Standard)
S0265,Student_0265,0.92,11.3,"[92, 89, 71, 74, 77]","{'reading': 3, 'vocab': 0, 'logic': 4}",10.2,0.92,0.97,Hard (Challenge)
S0266,Student_0266,0.84,15.0,"[74, 66, 74, 97, 70]","{'reading': 4, 'vocab': 0, 'logic': 3}",6.7,0.65,0.51,Medium (Standard)
S0267,Student_0267,0.81,15.1,"[83, 78, 61, 81, 79]","{'reading': 0, 'vocab': 0, 'logic': 0}",17.1,0.83,0.58,Medium (Standard)
S0268,Student_0268,0.81,10.6,"[93, 82, 64, 84, 67]","{'reading': 4, 'vocab': 3, 'logic': 4}",19.2,0.8,0.94,Hard (Challenge)
S0269,Student_0269,0.61,20.8,"[74, 60, 81, 62, 97]","{'reading': 3, 'vocab': 1, 'logic': 0}",6.1,0.66,0.73,Medium (Standard)
S0270,Student_0270,0.57,21.4,"[77, 62, 69, 98, 60]","{'reading': 2, 'vocab': 0, 'logic': 2}",19.3,0.85,0.78,Medium (Standard)
S0271,Student_0271,0.88,11.1,"[70, 64, 66, 78, 88]","{'reading': 2, 'vocab': 4, 'logic': 3}",12.8,0.71,0.83,Medium (Standard)
S0272,Student_0272,0.88,13.2,"[89, 79, 96, 62, 68]","{'reading': 1, 'vocab': 0, 'logic': 1}",9.5,0.8,0.84,Hard (Challenge)
S0273,Student_0273,0.91,12.8,"[61, 82, 82, 80, 75]","{'reading': 0, 'vocab': 4, 'logic': 3}",6.2,0.63,0.97,Hard (Challenge)
S0274,Student_0274,0.94,11.7,"[86, 76, 97, 95, 60]","{'reading': 1, 'vocab': 2, 'logic': 0}",12.5,0.78,1.0,Hard (Challenge)
S0275,Student_0275,0.7,14.9,"[72, 99, 74, 63, 92]","{'reading': 3, 'vocab': 2, 'logic': 0}",16.9,0.72,0.86,Medium (Standard)
S0276,Student_0276,0.7,14.7,"[69, 95, 79, 70, 71]","{'reading': 1, 'vocab': 3, 'logic': 4}",15.6,0.93,0.64,Medium (Standard)
S0277,Student_0277,0.87,12.5,"[79, 84, 71, 80, 84]","{'reading': 2, 'vocab': 0, 'logic': 1}",5.8,0.62,0.94,Medium (Standard)
S0278,Student_0278,0.78,16.7,"[84, 94, 91, 73, 60]","{'reading': 0, 'vocab': 0, 'logic': 2}",6.1,0.77,0.52,Medium (Standard)
S0279,Student_0279,0.81,14.9,"[67, 64, 64, 94, 78]","{'reading': 0, 'vocab': 1, 'logic': 0}",11.0,0.78,0.62,Medium (Standard)
S0280,Student_0280,0.87,11.9,"[61, 73, 60, 85, 84]","{'reading': 1, 'vocab': 3, 'logic': 4}",9.4,0.89,0.95,Hard (Challenge)
S0281,Student_0281,0.93,12.9,"[83, 74, 78, 67, 93]","{'reading': 1, 'vocab': 2, 'logic': 1}",8.5,0.83,0.63,Medium (Standard)
S0282,Student_0282,0.6,12.3,"[94, 82, 67, 87, 82]","{'reading': 3, 'vocab': 4, 'logic': 1}",9.2,0.87,0.61,Medium (Standard)
S0283,Student_0283,0.62,19.9,"[88, 60, 63, 91, 92]","{'reading': 0, 'vocab': 1, 'logic': 0}",17.1,0.91,0.57,Medium (Standard)
S0284,Student_0284,0.46,17.3,"[98, 82, 91, 74, 72]","{'reading': 3, 'vocab': 1, 'logic': 3}",18.9,0.94,0.93,Medium (Standard)
S0285,Student_0285,0.74,14.5,"[78, 83, 83, 70, 81]","{'reading': 1, 'vocab': 0, 'logic': 2}",11.1,0.73,0.75,Medium (Standard)
S0286,Student_0286,0.42,19.4,"[68, 87, 60, 76, 90]","{'reading': 3, 'vocab': 1, 'logic': 4}",18.6,0.82,0.84,Medium (Standard)
S0287,Student_0287,0.67,14.0,"[88, 77, 97, 98, 65]","{'reading': 3, 'vocab': 4, 'logic': 3}",9.8,0.94,0.62,Medium (Standard)
S0288,Student_0288,0.72,17.9,"[69, 79, 74, 90, 66]","{'reading': 1, 'vocab': 0, 'logic': 1}",12.1,1.0,0.88,Hard (Challenge)
S0289,Student_0289,0.57,17.7,"[69, 98, 87, 89, 96]","{'reading': 2, 'vocab': 1, 'logic': 2}",8.4,0.96,0.88,Medium (Standard)
S0290,Student_0290,0.75,15.7,"[74, 80, 96, 71, 63]","{'reading': 0, 'vocab': 1, 'logic': 4}",14.6,0.75,0.66,Medium (Standard)
S0291,Student_0291,0.42,21.5,"[87, 82, 99, 81, 83]","{'reading': 2, 'vocab': 1, 'logic': 1}",19.7,0.68,0.71,Medium (Standard)
S0292,Student_0292,0.42,22.6,"[89, 92, 75, 81, 77]","{'reading': 1, 'vocab': 1, 'logic': 1}",14.1,0.8,0.6,Medium (Standard)
S0293,Student_0293,0.89,12.4,"[68, 90, 66, 68, 72]","{'reading': 1, 'vocab': 2, 'logic': 2}",10.4,0.9,0.99,Hard (Challenge)
S0294,Student_0294,0.61,15.2,"[92, 80, 90, 93, 91]","{'reading': 0, 'vocab': 2, 'logic': 4}",14.7,0.8,0.82,Medium (Standard)
S0295,Student_0295,0.47,22.6,"[80, 92, 91, 78, 92]","{'reading': 3, 'vocab': 4, 'logic': 1}",6.8,0.79,0.97,Medium (Standard)
S0296,Student_0296,0.71,14.8,"[74, 73, 78, 74, 65]","{'reading': 3, 'vocab': 0, 'logic': 4}",18.3,0.94,0.65,Medium (Standard)
S0297,Student_0297,0.85,9.9,"[79, 93, 97, 85, 77]","{'reading': 3, 'vocab': 4, 'logic': 2}",12.5,0.74,0.89,Medium (Standard)
S0298,Student_0298,0.53,18.5,"[68, 91, 65, 73, 87]","{'reading': 1, 'vocab': 4, 'logic': 4}",11.7,0.94,0.88,Medium (Standard)
S0299,Student_0299,0.77,17.6,"[71, 78, 80, 86, 78]","{'reading': 1, 'vocab': 4, 'logic': 3}",13.8,0.76,0.85,Medium (Standard)
S0300,Student_0300,0.45,22.7,"[77, 95, 88, 76, 63]","{'reading': 3, 'vocab': 4, 'logic': 4}",14.4,0.73,0.98,Medium (Standard)
S0301,Student_0301,0.43,20.7,"[88, 63, 69, 84, 90]","{'reading': 2, 'vocab': 1, 'logic': 0}",6.1,0.78,0.7,Medium (Standard)
S0302,Student_0302,0.71,15.1,"[84, 65, 85, 67, 94]","{'reading': 2, 'vocab': 0, 'logic': 1}",15.2,0.9,0.57,Medium (Standard)
S0303,Student_0303,0.72,15.0,"[60, 98, 62, 63, 96]","{'reading': 2, 'vocab': 1, 'logic': 2}",8.6,0.65,0.84,Medium (Standard)
S0304,Student_0304,0.78,18.6,"[85, 98, 69, 97, 73]","{'reading': 0, 'vocab': 0, 'logic': 2}",15.7,0.68,0.86,Medium (Standard)
S0305,Student_0305,0.83,14.2,"[89, 64, 90, 66, 78]","{'reading': 3, 'vocab': 1, 'logic': 1}",17.3,0.98,0.79,Hard (Challenge)
S0306,Student_0306,0.98,11.3,"[82, 99, 65, 97, 95]","{'reading': 2, 'vocab': 2, 'logic': 4}",17.1,0.67,0.6,Medium (Standard)
S0307,Student_0307,0.7,18.1,"[76, 66, 86, 74, 72]","{'reading': 2, 'vocab': 3, 'logic': 4}",13.3,0.83,0.75,Medium (Standard)
S0308,Student_0308,0.59,18.7,"[85, 81, 87, 83, 88]","{'reading': 0, 'vocab': 1, 'logic': 3}",12.8,0.83,0.66,Medium (Standard)
S0309,Student_0309,0.87,12.1,"[77, 75, 92, 88, 98]","{'reading': 3, 'vocab': 1, 'logic': 0}",7.1,0.8,0.71,Medium (Standard)
S0310,Student_0310,0.56,18.4,"[90, 87, 62, 73, 84]","{'reading': 1, 'vocab': 3, 'logic': 1}",16.6,0.86,0.82,Medium (Standard)
S0311,Student_0311,0.66,16.7,"[83, 86, 96, 97, 89]","{'reading': 2, 'vocab': 1, 'logic': 0}",9.1,0.69,0.87,Medium (Standard)
S0312,Student_0312,0.45,20.9,"[63, 88, 60, 81, 70]","{'reading': 1, 'vocab': 2, 'logic': 0}",12.5,0.82,0.62,Medium (Standard)
S0313,Student_0313,0.41,23.3,"[95, 85, 80, 72, 68]","{'reading': 2, 'vocab': 2, 'logic': 0}",9.3,0.75,0.7,Medium (Standard)
S0314,Student_0314,0.97,10.7,"[65, 72, 81, 90, 81]","{'reading': 4, 'vocab': 2, 'logic': 1}",7.0,0.86,0.63,Medium (Standard)
S0315,Student_0315,0.89,13.7,"[73, 64, 95, 91, 93]","{'reading': 1, 'vocab': 1, 'logic': 1}",14.4,0.66,0.6,Medium (Standard)
S0316,Student_0316,0.81,13.6,"[76, 89, 80, 72, 60]","{'reading': 0, 'vocab': 0, 'logic': 0}",5.8,0.83,0.89,Hard (Challenge)
S0317,Student_0317,0.64,17.4,"[85, 72, 87, 92, 96]","{'reading': 0, 'vocab': 0, 'logic': 0}",16.2,0.67,0.95,Medium (Standard)
S0318,Student_0318,0.5,16.0,"[67, 60, 71, 64, 83]","{'reading': 0, 'vocab': 0, 'logic': 0}",9.8,0.71,0.69,Medium (Standard)
S0319,Student_0319,0.49,22.0,"[60, 91, 62, 78, 88]","{'reading': 1, 'vocab': 1, 'logic': 0}",5.0,0.69,0.88,Medium (Standard)
S0320,Student_0320,0.55,19.7,"[76, 95, 76, 71, 79]","{'reading': 1, 'vocab': 2, 'logic': 2}",12.7,0.67,0.95,Medium (Standard)
S0321,Student_0321,0.72,17.6,"[63, 76, 96, 74, 92]","{'reading': 2, 'vocab': 3, 'logic': 4}",5.7,0.93,0.92,Hard (Challenge)
S0322,Student_0322,0.82,7.8,"[75, 89, 93, 60, 83]","{'reading': 0, 'vocab': 3, 'logic': 0}",9.1,0.71,0.59,Medium (Standard)
S0323,Student_0323,0.79,18.4,"[84, 87, 74, 89, 86]","{'reading': 1, 'vocab': 4, 'logic': 1}",15.6,0.97,0.98,Hard (Challenge)
S0324,Student_0324,0.57,18.3,"[90, 86, 71, 90, 91]","{'reading': 0, 'vocab': 2, 'logic': 4}",5.9,0.99,0.69,Medium (Standard)
S0325,Student_0325,0.96,13.0,"[94, 80, 69, 75, 66]","{'reading': 3, 'vocab': 2, 'logic': 3}",17.6,0.83,0.67,Medium (Standard)
S0326,Student_0326,0.84,11.1,"[84, 90, 70, 79, 95]","{'reading': 0, 'vocab': 4, 'logic': 2}",5.1,0.66,0.53,Medium (Standard)
S0327,Student_0327,0.73,16.6,"[89, 94, 97, 81, 86]","{'reading': 4, 'vocab': 0, 'logic': 2}",8.7,0.75,0.74,Medium (Standard)
S0328,Student_0328,0.76,12.7,"[63, 75, 75, 80, 85]","{'reading': 0, 'vocab': 3, 'logic': 2}",16.1,0.92,0.55,Medium (Standard)
S0329,Student_0329,0.65,15.8,"[76, 85, 81, 87, 60]","{'reading': 3, 'vocab': 3, 'logic': 2}",9.7,0.75,0.62,Medium (Standard)
S0330,Student_0330,0.55,22.8,"[96, 61, 76, 99, 97]","{'reading': 4, 'vocab': 4, 'logic': 0}",6.5,0.63,0.66,Medium (Standard)
S0331,Student_0331,0.61,17.4,"[72, 70, 75, 75, 61]","{'reading': 1, 'vocab': 3, 'logic': 2}",10.4,0.82,0.9,Medium (Standard)
S0332,Student_0332,0.85,13.4,"[72, 76, 98, 83, 62]","{'reading': 3, 'vocab': 4, 'logic': 2}",9.1,0.94,0.94,Hard (Challenge)
S0333,Student_0333,0.41,23.5,"[66, 68, 78, 99, 81]","{'reading': 1, 'vocab': 4, 'logic': 1}",17.6,0.92,0.65,Medium (Standard)
S0334,Student_0334,0.47,21.6,"[70, 90, 92, 73, 75]","{'reading': 2, 'vocab': 0, 'logic': 4}",9.7,0.67,0.93,Medium (Standard)
S0335,Student_0335,0.43,21.7,"[73, 87, 75, 78, 76]","{'reading': 2, 'vocab': 1, 'logic': 2}",16.8,0.87,0.93,Medium (Standard)
S0336,Student_0336,0.42,22.3,"[68, 76, 90, 71, 82]","{'reading': 4, 'vocab': 2, 'logic': 3}",18.4,0.69,0.88,Medium (Standard)
S0337,Student_0337,0.9,16.8,"[95, 62, 83, 76, 98]","{'reading': 1, 'vocab': 3, 'logic': 4}",11.5,0.69,0.57,Medium (Standard)
S0338,Student_0338,0.82,13.5,"[71, 60, 80, 78, 80]","{'reading': 3, 'vocab': 1, 'logic': 2}",18.6,0.95,0.85,Hard (Challenge)
